cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_guest,cpu_guest_nice,cpu_percent_avg,cpu_percent,cpu_user_0,cpu_nice_0,cpu_system_0,cpu_idle_0,cpu_iowait_0,cpu_irq_0,cpu_softirq_0,cpu_steal_0,cpu_guest_0,cpu_guest_nice_0,mem_total,mem_available,mem_percent,mem_used,mem_free,mem_active,mem_inactive,mem_buffers,mem_cached,mem_shared,mem_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,disk_total,disk_used,disk_free,disk_percent,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_read_merged_count,disk_write_merged_count,disk_busy_time,net_bytes_sent,net_bytes_recv,net_packets_sent,net_packets_recv,net_errin,net_errout,net_dropin,net_dropout,timestamp,crypto_running
20.9,0,0,0,0,0,0,79.1,0,0,100,100,20.9,0,0,0,0,0,0,79.1,0,0,1016025088,426307584,58,436551680,193294336,184545280,517099520,42995712,343183360,839680,67592192,0,0,0,0,0,0,10340794368,4188626944,6135390208,40.6,14271,34371,571810304,282238976,59199,106330,4104,11174,101736,1759290,1795961,8705,9123,0,0,0,0,1637920580,1
100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,1016025088,426307584,58,436551680,193294336,184545280,517099520,42995712,343183360,839680,67592192,0,0,0,0,0,0,10340794368,4188626944,6135390208,40.6,14271,34371,571810304,282238976,59199,106330,4104,11174,101736,1759356,1796013,8706,9124,0,0,0,0,1637920595,1
11.1,0,0,0,0,0,0,88.9,0,0,100,100,11.1,0,0,0,0,0,0,88.9,0,0,1016025088,426307584,58,436543488,193294336,184545280,517099520,43003904,343183360,839680,67592192,0,0,0,0,0,0,10340794368,4188626944,6135390208,40.6,14271,34373,571810304,282263552,59199,106332,4104,11178,101744,1759422,1796065,8707,9125,0,0,0,0,1637920610,1
27.5,0,0.1,0,0,0,0,72.4,0,0,100,100,27.5,0,0.1,0,0,0,0,72.4,0,0,1016025088,426315776,58,436543488,193294336,184553472,517099520,43003904,343183360,839680,67592192,0,0,0,0,0,0,10340794368,4188626944,6135390208,40.6,14271,34374,571810304,282267648,59199,106333,4104,11178,101748,1759689,1796242,8710,9127,0,0,0,0,1637920625,1
17.3,0,0,0,0,0,0,82.7,0,0,100,100,17.3,0,0,0,0,0,0,82.7,0,0,1016025088,426328064,58,436531200,193294336,184561664,517099520,43012096,343187456,839680,67596288,0,0,0,0,0,0,10340794368,4188626944,6135390208,40.6,14271,34417,571810304,282484736,59199,106664,4104,11183,101796,1759797,1796336,8712,9129,0,0,0,0,1637920640,1
14.3,0,0,0,0,0,0,85.6,0,0,105,100,14.3,0,0,0,0,0,0,85.6,0,0,1016025088,426328064,58,436531200,193294336,184561664,517099520,43012096,343187456,839680,67596288,0,0,0,0,0,0,10340794368,4188626944,6135390208,40.6,14271,34417,571810304,282484736,59199,106664,4104,11183,101796,1759905,1796430,8714,9131,0,0,0,0,1637920655,1
13.9,0,0,0,0,0,0,86.1,0,0,105,100,13.9,0,0,0,0,0,0,86.1,0,0,1016025088,426336256,58,436523008,193294336,184569856,517099520,43020288,343187456,839680,67596288,0,0,0,0,0,0,10340794368,4188626944,6135390208,40.6,14271,34420,571810304,282501120,59199,106666,4104,11184,101812,1759971,1796482,8715,9132,0,0,0,0,1637920670,1
17.5,0,0,0,0,0,0,82.5,0,0,104,100,17.5,0,0,0,0,0,0,82.5,0,0,1016025088,426336256,58,436523008,193294336,184569856,517099520,43020288,343187456,839680,67596288,0,0,0,0,0,0,10340794368,4188626944,6135390208,40.6,14271,34420,571810304,282501120,59199,106666,4104,11184,101812,1760172,1796607,8717,9133,0,0,0,0,1637920685,1
16.6,0,0.1,0,0,0,0,83.3,0,0,104,100,16.6,0,0.1,0,0,0,0,83.3,0,0,1016025088,426344448,58,436514816,193294336,184573952,517103616,43028480,343187456,839680,67596288,0,0,0,0,0,0,10340794368,4188626944,6135390208,40.6,14271,34458,571810304,282693632,59199,106988,4104,11188,101864,1760621,1797053,8720,9136,0,0,0,0,1637920700,1
20.2,0,0,0,0,0,0,79.8,0,0,104,100,20.2,0,0,0,0,0,0,79.8,0,0,1016025088,426352640,58,436506624,193294336,184586240,517099520,43036672,343187456,839680,67596288,0,0,0,0,0,0,10340794368,4188626944,6135390208,40.6,14271,34463,571810304,282726400,59199,106991,4104,11191,101872,1760687,1797105,8721,9137,0,0,0,0,1637920715,1
